Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A705116,16901 Hayride Circle in Travis (TX),Stray,Nursing,Dog,Intact Male,German Shepherd Mix,Chocolate,Intact Male,positive,2,2
A758981,13355 N Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Male,Shih Tzu Mix,White/Tan,Intact Male,positive,274,273
A790058,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Pit Bull Mix,Tan/White,Spayed Female,positive,812,791
A795117,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Boxer/Pit Bull,Black/White,Spayed Female,positive,92,89
A616934,Macmora Drive And Click in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Blue/White,Intact Male,positive,3140,3122
A795023,2014 Wheless Lane in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Brown Tabby/White,Intact Male,positive,369,365
A742950,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,498,388
A750937,193  Berkely in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby,Intact Female,positive,29,22
A689408,2329 Bendridge in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,98,45
A802508,14000 Tyburn Trail in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Longhair,Blue Tabby,Neutered Male,positive,73,32
A736346,5006 Emerald Forest in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Spayed Female,positive,66,37
A790365,21007 Hog Eye Rd in Travis (TX),Stray,Normal,Other,Unknown,Bat,Black,Unknown,negative,367,365
A802736,11800 Garden Gate Dr in Travis (TX),Stray,Normal,Dog,Intact Male,Beagle/Labrador Retriever,Brown/White,Neutered Male,positive,372,365
