Animal ID,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Breed_Intake,Color_Intake,Sex upon Outcome,binary_outcome,Age Outcome,Age Intake
A781316,2101 South Lakeline Boulevard in Cedar Park (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black Tabby,Neutered Male,positive,66,62
A664681,900 Cumberland #B in Austin (TX),Public Assist,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,White/Brown,Intact Female,positive,744,732
A704669,Burns St And Lamar Pl in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,negative,93,92
A669455,Holly St in Austin (TX),Stray,Normal,Dog,Spayed Female,Rat Terrier/Pit Bull,Tricolor,Spayed Female,positive,745,731
A687130,1054 Springdale Blvd. in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Brown/Black,Intact Female,positive,7,7
A773229,13925 Rector Loop in Manor (TX),Stray,Normal,Dog,Intact Female,Anatol Shepherd Mix,Chocolate/White,Intact Female,positive,52,2
A661627,Kramer And Metric Blvd in Austin (TX),Stray,Normal,Dog,Neutered Male,Labrador Retriever/German Shepherd,Chocolate,Neutered Male,positive,260,259
A719577,9315 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Neutered Male,positive,260,245
A460630,2200 Quicksilver in Austin (TX),Stray,Normal,Dog,Spayed Female,Miniature Poodle,White,Spayed Female,positive,3632,3625
A561980,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Chihuahua Shorthair,Blue/White,Neutered Male,positive,2506,2505
A752633,815 W Slaughter Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Longhair Mix,Black,Intact Male,negative,48,35
A737113,6934 E Ben White Blvd in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Seal Point,Intact Female,positive,731,731
A779161,2222 And City Park Drive in Austin (TX),Stray,Normal,Dog,Intact Male,American Bulldog Mix,White/Brown Brindle,Neutered Male,positive,87,42
A756208,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,153,122
A764077,1201 Barbara Jordan Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,German Shepherd/Border Collie,Tricolor,Spayed Female,positive,556,548
A664697,9814 Rodriguez Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Border Terrier Mix,White/Tan,Spayed Female,positive,139,122
A717775,6206 Langham in Austin (TX),Stray,Injured,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,1828,1826
A748056,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Miniature Pinscher,Black/Brown,Spayed Female,positive,1461,1461
A733758,609 W Lynn St #1 in Austin (TX),Wildlife,Normal,Other,Unknown,Raccoon Mix,Gray,Unknown,negative,368,366
A710678,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Longhair Mix,Tortie,Spayed Female,positive,2975,2922
A711580,14811 Bescott Dr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,83,38
A747533,1001 Nimbus Dr in Pflugerville (TX),Stray,Nursing,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/Black,Intact Male,positive,15,15
A688498,Picadilly And Grand Ave Pkwy in Pflugerville (TX),Stray,Normal,Dog,Neutered Male,Yorkshire Terrier Mix,Silver/Tan,Neutered Male,positive,555,549
A751821,Old Lockhart Hwy And Thaxton Rd in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Longhair Mix,White/Brown,Neutered Male,positive,735,731
A685073,Barton Springs And Sterzing St in Austin (TX),Stray,Normal,Dog,Neutered Male,Dachshund Mix,Tricolor,Neutered Male,positive,3499,3499
A735819,13424 Wagon Way in Travis (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,positive,367,366
A598741,3500 N Capital Of Texas Hwy in Austin (TX),Stray,Normal,Dog,Spayed Female,Chihuahua Shorthair,Black/Tan,Spayed Female,positive,2070,2068
A680222,4711 Hudson Bend Rd in Austin (TX),Stray,Injured,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,negative,3,3
A806381,2306 West Howard Lane in Austin (TX),Stray,Normal,Dog,Intact Male,Siberian Husky,Black/White,Neutered Male,positive,1101,1095
A764750,1300 Blk 51 Street in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie/White,Spayed Female,positive,129,122
A730086,Montopolis Dr & E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Maltese Mix,White,Neutered Male,positive,370,366
A775000,4211 South Lamar in Austin (TX),Stray,Normal,Dog,Neutered Male,Staffordshire Mix,Brown Brindle/White,Neutered Male,positive,2557,2557
A796898,6200 Loyola Ln in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Longhair Mix,Tan,Spayed Female,positive,152,147
A715029,1156 West Cesar Chavez in Austin (TX),Stray,Normal,Dog,Neutered Male,German Shepherd Mix,Black/Brown,Neutered Male,positive,366,365
A733473,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,White/Black,Neutered Male,positive,94,53
A809137,9301 Hog Eye Lane in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair,Brown Tabby,Unknown,positive,158,153
A721672,1412 Ransom St in Travis (TX),Stray,Sick,Cat,Unknown,Domestic Medium Hair Mix,Blue,Unknown,negative,1831,1827
A698980,6109 Conti Ct in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair/Cardigan Welsh Corgi,Tan/White,Neutered Male,positive,1505,1461
A776901,5510 S Ih 35 Sr in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,63,30
A762331,St Johns And Cameron Road in Austin (TX),Stray,Normal,Dog,Intact Female,Siberian Husky Mix,Tan/White,Intact Female,positive,731,731
A777932,Outside Jurisdiction,Owner Surrender,Normal,Dog,Spayed Female,German Shepherd Mix,Black/White,Spayed Female,positive,104,103
A689938,7201 Levander Loop in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,280,278
A790837,14014 Thermal Drive in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,Tan/Black,Neutered Male,positive,56,52
A725415,6201 Berkman Dr in Austin (TX),Stray,Injured,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,3655,3652
A727218,Bluff Spring Rd in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever/Beagle,Brown/White,Spayed Female,positive,378,374
A767711,Austin (TX),Wildlife,Sick,Other,Unknown,Bat Mix,Black,Unknown,negative,733,730
A708213,20400 Cordill Ln in Travis (TX),Wildlife,Sick,Other,Unknown,Raccoon Mix,Gray,Unknown,negative,365,365
A765537,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Longhair Mix,White/Brown Tabby,Neutered Male,positive,1622,1461
A765260,Mansell Avenue And Bolm Road in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd,Black/Brown,Intact Male,positive,942,941
A768701,Highway 71 And Ranch Road 620 in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown Brindle/White,Neutered Male,positive,737,730
A777104,San Felipe in Austin (TX),Wildlife,Normal,Other,Unknown,Bat Mix,Brown,Unknown,negative,365,365
A807967,11404 Walnut Ridge Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Black,Spayed Female,positive,179,168
A711001,Johnny Morris Rd And Hwy 290 in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,68,61
A671871,2200 S. Pleasant Valley in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black/Tan,Spayed Female,positive,1834,1826
A676723,15411 Ullman Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,Spayed Female,positive,1691,1461
A806599,2308 East Riverside Drive in Austin (TX),Public Assist,Normal,Dog,Intact Male,German Shepherd,Black/Tan,Intact Male,positive,1096,1095
A774466,Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,87,41
A805204,2104 Cullen Ave in Austin (TX),Stray,Injured,Cat,Neutered Male,Domestic Shorthair,Cream Tabby/White,Neutered Male,positive,2191,2191
A669728,Austin (TX),Owner Surrender,Sick,Cat,Spayed Female,Domestic Longhair Mix,Black,Spayed Female,negative,4749,4748
A788048,2517 Dovemeadow in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Cream,Spayed Female,positive,4103,4018
A785731,5706 Viewpoint Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,128,122
A783561,12151 North Interstate 35 in Austin (TX),Stray,Injured,Other,Unknown,Ferret Mix,Black/White,Unknown,positive,366,365
A623762,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Chihuahua Shorthair Mix,Tricolor,Neutered Male,positive,2192,2172
A664872,923 Bodark in Austin (TX),Stray,Sick,Cat,Neutered Male,Domestic Shorthair Mix,Black,Neutered Male,negative,1096,1096
A780754,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Chihuahua Shorthair Mix,Tan,Spayed Female,positive,2392,2389
A690592,2308 Wickersham in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Gray/White,Intact Male,positive,22,21
A773568,3229 Azalea in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Tan,Spayed Female,positive,212,212
A680596,Austin (TX),Public Assist,Normal,Dog,Intact Female,Labrador Retriever/Pit Bull,Brown/White,Intact Female,positive,375,366
A667897,W 30Th/ West Ave in Austin (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,246,244
A703583,6403 Tiner Trl in Austin (TX),Stray,Normal,Cat,Intact Female,Siamese Mix,Lynx Point,Spayed Female,positive,211,30
A799415,1818 Travis Heights Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,Pointer/Great Dane,Black/White,Spayed Female,positive,187,181
A728244,9027 Northgate Blvd in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,84,46
A810109,Travis (TX),Owner Surrender,Normal,Dog,Intact Female,Labrador Retriever,Tan/White,Spayed Female,positive,76,73
A772785,Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,87,0
A811929,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Staffordshire Mix,Black/White,Spayed Female,positive,1344,1340
A730816,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Spayed Female,positive,118,106
A713039,6405 Jennings Dr in Austin (TX),Stray,Injured,Bird,Unknown,Parrot,Green/Yellow,Unknown,positive,369,365
A687384,Quinton Dr & Fall Meadow Ln in Austin (TX),Stray,Normal,Dog,Intact Female,Papillon/Yorkshire Terrier,Tan/Cream,Spayed Female,positive,369,365
A801996,11805 Bastrop St in Manor (TX),Public Assist,Behavior,Dog,Neutered Male,Pointer/Pit Bull,White/Tan,Neutered Male,positive,643,597
A782393,1120 Spur Street in Austin (TX),Stray,Injured,Cat,Intact Female,Siamese Mix,Seal Point,Intact Female,negative,38,37
A774166,5001 Delta Post Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Calico,Intact Female,positive,31,31
A780668,1604 Fortview Road in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,104,55
A670943,124 W Anderson Ln in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Blue Tabby,Spayed Female,positive,735,731
A755933,1628 Ohlen Rd in Austin (TX),Stray,Normal,Dog,Neutered Male,Wire Hair Fox Terrier Mix,Tan/White,Neutered Male,positive,732,731
A700782,Dessau Rd & E Rundberg Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,White,Neutered Male,positive,372,365
A726146,Yager & Techridge/Copperfield in Austin (TX),Stray,Sick,Dog,Intact Male,German Shepherd Mix,Black,Neutered Male,positive,732,731
A729630,Redbud Ln And Travis Dr in Jonestown (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,negative,43,38
A772443,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Rhod Ridgeback Mix,Brown,Neutered Male,positive,1889,1826
A683733,1700 Burton Dr #401 in Austin (TX),Public Assist,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black/White,Intact Female,positive,32,21
A704130,Austin (TX),Euthanasia Request,Sick,Dog,Spayed Female,Labrador Retriever Mix,Black,Spayed Female,negative,4748,4748
A751591,183 And Oak Knoll in Austin (TX),Stray,Normal,Dog,Intact Male,Dachshund Longhair Mix,Tricolor,Neutered Male,positive,735,731
A797835,Branchwood And Lakehurst in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby/White,Neutered Male,positive,88,76
A700123,5338 Thunder Creek Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Longhair Mix,Brown Tabby/White,Spayed Female,positive,73,42
A754425,2001 Faro Dr in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Black,Unknown,negative,365,365
A713709,Pflugerville (TX),Owner Surrender,Normal,Dog,Spayed Female,Greyhound/Labrador Retriever,Black,Spayed Female,positive,4107,4017
A714526,13300 William Harrison in Travis (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black,Spayed Female,positive,201,183
A722194,2005 Bouldin in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Lynx Point,Spayed Female,positive,76,15
A802476,7330 Bluff Springs Road in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tabby/White,Intact Male,positive,369,365
A763292,5200 E William Cannon Drive in Austin (TX),Stray,Normal,Dog,Intact Male,American Staffordshire Terrier Mix,Black/White,Neutered Male,positive,403,365
A782931,13309 Slow Poke Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Tortie,Spayed Female,positive,366,365
A701021,E Stassney Ln And Palo Blanco Ln in Austin (TX),Stray,Normal,Dog,Intact Male,Miniature Poodle Mix,White,Neutered Male,positive,1101,1095
A758273,10 Love Grass in Sunset Valley (TX),Public Assist,Normal,Dog,Neutered Male,Labrador Retriever Mix,Tan/White,Neutered Male,positive,2568,2557
A688037,620/Vista Ridge in Travis (TX),Stray,Normal,Dog,Intact Male,Siberian Husky/Australian Cattle Dog,Brown/White,Neutered Male,positive,219,212
A665292,North Ec Research Blvd in Austin (TX),Stray,Nursing,Cat,Intact Male,Domestic Shorthair Mix,Cream,Intact Male,positive,0,0
A717930,10404 Premier Park St in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,Black,Neutered Male,positive,285,275
A736908,Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black,Neutered Male,positive,81,36
A684513,8305 Steamline Cir in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black,Neutered Male,positive,72,46
A727289,8105 Linden Rd in Del Valle (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Brown/Tan,Neutered Male,positive,156,152
A717601,2510 Lehigh Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby,Spayed Female,positive,734,730
A708374,401 Little Texas Ln in Austin (TX),Wildlife,Normal,Other,Unknown,Bat,Brown,Unknown,negative,184,181
A692868,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,Pit Bull/Australian Cattle Dog,Tricolor,Intact Female,positive,325,306
A680505,9322 Fm 812 in Travis (TX),Stray,Normal,Dog,Spayed Female,Pit Bull Mix,White/Brown,Spayed Female,positive,1220,1096
A713893,5055 Hwy 71 E in Del Valle (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Black,Intact Female,positive,118,48
A744053,Buck Ln And E Hwy 71 in Austin (TX),Stray,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Black/Tan,Neutered Male,positive,1466,1461
A780659,7401 Ferndale Circle in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,393,365
A751019,6506 High Point Cove in Austin (TX),Stray,Normal,Other,Intact Female,Rabbit Sh Mix,Black,Intact Female,positive,106,15
A672897,3204 Manchaca in Austin (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,White/Tan,Intact Female,positive,124,123
A670285,4800 Copperbend Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,Pit Bull Mix,Red,Intact Male,negative,737,731
A748637,4414 Barrow in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,733,731
A802481,Travis (TX),Owner Surrender,Normal,Cat,Neutered Male,Ragdoll/Munchkin Longhair,White/Orange,Neutered Male,positive,552,546
A739098,10005 Shively in Austin (TX),Stray,Injured,Cat,Intact Female,Domestic Shorthair Mix,Brown Tabby/White,Intact Female,positive,557,550
A704736,7400 Loyola Ln in Austin (TX),Stray,Nursing,Cat,Unknown,Domestic Shorthair Mix,Blue Tabby,Unknown,positive,15,15
A787099,Pflugerville (TX),Owner Surrender,Normal,Dog,Neutered Male,Labrador Retriever Mix,Red,Neutered Male,positive,864,856
A726781,13332 Elm Grove Rd in Travis (TX),Stray,Normal,Dog,Intact Male,Border Terrier Mix,Black,Intact Male,positive,27,22
A711101,1607 Cricket Hollow Dr in Austin (TX),Stray,Normal,Dog,Spayed Female,Labrador Retriever Mix,Chocolate/White,Spayed Female,positive,87,84
A765971,81 San Marcos Street in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Gray Tabby,Neutered Male,positive,159,155
A678081,4710 Carson Hill Dr in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Orange Tabby/White,Spayed Female,positive,790,730
A692253,1906 Newton St in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,positive,373,365
A679546,Prairie Trail / Kramer Lane in Austin (TX),Stray,Normal,Dog,Intact Female,Siberian Husky Mix,Black/Gray,Intact Female,positive,734,730
A780870,2407 Allred Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue,Intact Female,positive,51,16
A723412,8000 Valleyfield Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Miniature Schnauzer Mix,Gray,Intact Male,positive,1096,1096
A687418,Austin (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Calico,Intact Female,positive,2,2
A687993,1901 East Anderson Lane in Austin (TX),Stray,Normal,Dog,Spayed Female,Miniature Schnauzer,White,Spayed Female,positive,2192,2191
A669603,2921 Pecan Springs Rd in Austin (TX),Stray,Injured,Cat,Intact Female,Siamese Mix,Flame Point,Intact Female,negative,122,122
A724502,Mansfield Park Drive in Austin (TX),Stray,Normal,Cat,Unknown,Siamese Mix,Seal Point,Unknown,positive,15,15
A774096,1911 Tillery St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Black/White,Intact Male,positive,3655,3652
A745375,1115 W 10Th St in Austin (TX),Stray,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Calico,Spayed Female,positive,423,381
A740098,Travis (TX),Stray,Nursing,Dog,Intact Male,Chihuahua Shorthair Mix,Black/White,Intact Male,positive,1,0
A755999,Cedar Park (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,Tan,Intact Female,positive,935,912
A782771,10001 Burleson Road in Austin (TX),Stray,Sick,Cat,Intact Male,Domestic Shorthair Mix,Black,Intact Male,positive,45,30
A796431,333 East Slaughter Lane in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,White/Blue Tabby,Spayed Female,positive,85,22
A743545,Outside Jurisdiction,Owner Surrender,Normal,Dog,Intact Female,Catahoula Mix,Red/White,Spayed Female,positive,309,306
A774678,412 East William Cannon in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Brown Tabby/White,Intact Male,positive,1467,1461
A704364,4502 Gillis St in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Blue Tabby,Intact Male,negative,76,61
A702982,1012 Stacias Way in Pflugerville (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby/White,Unknown,positive,15,15
A552877,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,Domestic Shorthair Mix,Calico,Spayed Female,positive,3102,3095
A806464,5104 Raton Pass in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair,Black/White,Unknown,positive,7,7
A768144,Manor (TX),Owner Surrender,Normal,Dog,Intact Male,American Pit Bull Terrier Mix,Brown/White,Neutered Male,positive,63,3
A724646,1107 N Cuernavaca Dr in Travis (TX),Stray,Injured,Dog,Intact Female,German Shepherd Mix,Black/Brown,Intact Female,positive,1461,1461
A734541,Journeyville Dr And Terravista Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever Mix,White/Brown,Neutered Male,positive,127,123
A730316,6001 Manchaca Rd in Austin (TX),Stray,Normal,Dog,Intact Male,Bullmastiff Mix,Brown/White,Intact Male,positive,737,731
A750606,2904 Bond Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Medium Hair Mix,Black,Intact Female,positive,35,25
A716965,Woodward St And Willowrun Dr in Austin (TX),Stray,Normal,Dog,Intact Male,Dachshund Mix,Black,Neutered Male,positive,372,365
A691431,923 Walter St in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Torbie,Intact Female,positive,139,138
A720048,Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Black,Intact Female,positive,66,62
A698027,2901 Sunridge in Austin (TX),Public Assist,Normal,Dog,Intact Male,Chihuahua Shorthair Mix,Chocolate/Tan,Neutered Male,positive,732,730
A706661,14606 Gold Fish Pond Ave in Austin (TX),Stray,Normal,Dog,Spayed Female,Australian Cattle Dog Mix,White,Spayed Female,positive,3653,3652
A779385,Parker Ln And Oltorf in Austin (TX),Stray,Normal,Dog,Neutered Male,Plott Hound Mix,Black/White,Neutered Male,positive,1096,1096
A725997,5055 Hwy 71 in Del Valle (TX),Stray,Nursing,Cat,Intact Female,Domestic Shorthair Mix,Tortie/White,Intact Female,positive,16,15
A723278,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Australian Cattle Dog Mix,Red/White,Spayed Female,positive,1465,1461
A722624,6Th St And Red River St in Austin (TX),Stray,Normal,Dog,Spayed Female,Shih Tzu Mix,Tan/White,Spayed Female,positive,5479,5479
A687164,Fm1626 And S 1St St in Austin (TX),Stray,Normal,Dog,Neutered Male,Great Pyrenees/Standard Poodle,White,Neutered Male,positive,1197,1193
A777594,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,Dachshund Longhair Mix,Cream,Neutered Male,positive,280,280
A774177,4404 East Oltorf in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Orange Tabby/White,Neutered Male,positive,66,61
A685827,Austin (TX),Owner Surrender,Sick,Dog,Intact Male,Chihuahua Shorthair Mix,Tan/White,Intact Male,negative,61,61
A805046,21902 Cold Spring Dr in Travis (TX),Stray,Normal,Dog,Intact Male,Labrador Retriever/Great Pyrenees,White,Neutered Male,positive,1854,1826
A719517,4600 Monterey Oaks in Austin (TX),Stray,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Brown Tabby,Neutered Male,positive,735,730
A568618,13204 Amarillo Ave in Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Shorthair Mix,Orange Tabby,Neutered Male,positive,2463,2407
A683059,Travis (TX),Owner Surrender,Normal,Dog,Intact Male,Labrador Retriever/Australian Cattle Dog,Black/Brown,Intact Male,positive,202,198
A786776,4901 Red Bluff Road in Austin (TX),Stray,Normal,Dog,Spayed Female,Shiba Inu Mix,Red/Black,Spayed Female,positive,4749,4748
A794375,1203 Eleanor Street in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Brown Tabby,Unknown,positive,370,365
A728271,10105 Rodriguez Rd in Austin (TX),Stray,Normal,Dog,Intact Male,German Shepherd Mix,White/Brown,Intact Male,positive,31,31
A766580,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,Labrador Retriever Mix,Tan/White,Spayed Female,positive,787,780
A772005,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,Domestic Shorthair Mix,Orange Tabby/White,Intact Female,positive,373,365
A713431,2008 Wagon Crossing Path in Austin (TX),Stray,Normal,Cat,Unknown,Domestic Shorthair Mix,Black,Unknown,positive,7,7
A801474,3000 Royster Lane in Travis (TX),Stray,Normal,Dog,Intact Female,Pit Bull Mix,Chocolate/White,Spayed Female,positive,739,730
A683149,12125 Von Quintus Rd in Travis (TX),Stray,Normal,Dog,Intact Female,Boxer Mix,Brown/White,Intact Female,positive,80,76
A763164,2107 Kirksey Drive in Austin (TX),Stray,Normal,Cat,Intact Female,Domestic Shorthair Mix,Blue Cream,Spayed Female,positive,135,122
A670183,1800 E Stassney Ln in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby/White,Intact Male,positive,367,365
A701525,Riverside Dr & Frontier Valley in Austin (TX),Stray,Normal,Dog,Intact Female,Chihuahua Shorthair Mix,Tricolor,Spayed Female,positive,553,547
A677287,4434 Frontier Trl in Austin (TX),Stray,Nursing,Cat,Intact Male,Domestic Shorthair Mix,Brown Tabby,Intact Male,positive,4,4
A702220,Austin (TX),Stray,Injured,Dog,Intact Male,English Cocker Spaniel Mix,Black/White,Intact Male,negative,730,730
A804309,510 E Fawnridge Drive in Austin (TX),Stray,Injured,Dog,Intact Male,Dachshund/Chihuahua Longhair,Brown,Intact Male,positive,1837,1826
A703332,5217 Canela in Austin (TX),Stray,Sick,Cat,Unknown,Domestic Shorthair Mix,Blue/White,Unknown,positive,22,22
A579856,Banister Road And Southport Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,Chihuahua Shorthair,Tan,Neutered Male,positive,3007,3006
A806310,6201 Sneed Cove in Austin (TX),Stray,Normal,Cat,Intact Male,Domestic Shorthair,Orange Tabby/White,Neutered Male,positive,57,50
A724687,710 E Ben White Blvd in Austin (TX),Stray,Normal,Dog,Intact Female,St. Bernard Smooth Coat Mix,Tricolor,Spayed Female,positive,64,60
A756115,10710 Beach Road in Leander (TX),Stray,Normal,Dog,Intact Female,Labrador Retriever Mix,Black/White,Intact Female,positive,56,53
A734704,Outside Jurisdiction,Stray,Normal,Dog,Neutered Male,Pit Bull Mix,Fawn/White,Neutered Male,positive,808,798
A570741,Pleasant Valley And 2Nd St in Austin (TX),Stray,Normal,Dog,Neutered Male,Australian Shepherd Mix,Blue/Tan,Neutered Male,positive,5199,5198
A728153,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,Domestic Medium Hair Mix,Black,Neutered Male,positive,90,83
A794277,4603 Merion Cricket Drive in Austin (TX),Wildlife,Sick,Other,Unknown,Skunk,Black/White,Unknown,negative,730,730
A807479,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,Domestic Medium Hair,Blue/White,Neutered Male,positive,146,138
